"Id","Inc","Capital","Hours","Age","Employer","Education","Marital_Status","Occupation"
246,"High",0,54,65,"Private","High School","Married","Management"
247,"Low",0,17,72,"Self-Emp","Bach","Married","Management"
248,"Low",0,20,69,"Govt","Bach","Widowed","Trades"
249,"High",0,30,67,"Govt","Min","Divorced","Agricultural"
250,"Low",0,11,77,"Private","Bach","Divorced","Agricultural"
251,"High",0,32,49,"Private","High School","Divorced","Agricultural"
252,"Low",0,33,23,"Private","Min","Married","Management"
253,"Low",0,33,27,"Private","Bach","Married","Specialist"
255,"High",0,28,54,"Private","Bach","Married","Management"
257,"High",0,51,38,"Private","Bach","Married","Admin"
258,"High",0,46,59,"Private","High School","Married","Management"
259,"High",4049,35,39,"Private","Min","Never Married","Agricultural"
260,"High",0,37,40,"Private","Bach","Never Married","Agricultural"
261,"Low",0,21,64,"Private","Bach","Married","Trades"
262,"Low",0,33,21,"Private","Master","Never Married","Management"
263,"High",0,48,45,"Govt","High School","Married","Management"
264,"High",0,42,50,"Private","Bach","Divorced","Trades"
265,"High",0,36,67,"Private","High School","Divorced","Specialist"
266,"Low",0,36,33,"Private","Bach","Married","Admin"
267,"Low",0,19,73,"Private","Bach","Never Married","Admin"
268,"High",0,52,42,"Private","Master","Never Married","Trades"
269,"High",0,34,64,"Govt","High School","Married","Agricultural"
270,"High",0,37,38,"Private","High School","Never Married","Management"
271,"Low",0,43,25,"Self-Emp","Master","Married","Management"
272,"Low",0,21,64,"Private","High School","Married","Management"
273,"High",0,67,60,"Private","Min","Married","Specialist"
274,"Low",0,15,77,"Private","Min","Never Married","Agricultural"
275,"Low",0,49,26,"Private","Bach","Widowed","Management"
277,"High",422,38,48,"Private","High School","Married","Agricultural"
278,"Low",0,7,80,"Govt","High School","Married","Management"
279,"Low",0,25,27,"Private","Min","Never Married","Specialist"
281,"High",1380,50,30,"Private","High School","Divorced","Management"
282,"High",0,27,53,"Private","Bach","Married","Management"
283,"Low",0,47,25,"Private","Bach","Married","Management"
284,"High",0,47,61,"Private","Bach","Married","Management"
285,"Low",0,22,44,"Private","Bach","Never Married","Admin"
287,"High",0,51,61,"Self-Emp","Bach","Married","Trades"
288,"Low",0,54,24,"Private","High School","Never Married","Trades"
289,"High",0,36,45,"Private","Bach","Widowed","Admin"
292,"High",0,42,57,"Private","Bach","Never Married","Admin"
293,"High",0,30,65,"Private","High School","Married","Admin"
294,"High",0,47,55,"Private","Bach","Married","Specialist"
295,"High",0,59,34,"Private","Bach","Married","Admin"
296,"High",0,37,62,"Private","Min","Married","Admin"
297,"Low",0,17,71,"Other","Bach","Married","Agricultural"
298,"Low",0,41,25,"Private","Bach","Married","Agricultural"
299,"Low",0,49,25,"Private","High School","Divorced","Agricultural"
300,"Low",0,30,20,"Private","Bach","Married","Trades"
301,"Low",0,19,65,"Private","High School","Never Married","Trades"
302,"High",6084,29,62,"Private","Bach","Married","Specialist"
303,"Low",0,11,76,"Private","Bach","Married","Specialist"
304,"High",0,36,61,"Private","Bach","Never Married","Admin"
305,"Low",0,48,23,"Self-Emp","Bach","Married","Trades"
306,"Low",0,19,72,"Self-Emp","High School","Married","Specialist"
307,"Low",0,24,74,"Self-Emp","High School","Divorced","Admin"
308,"High",0,63,39,"Private","Min","Married","Management"
309,"High",0,38,46,"Private","Bach","Married","Management"
310,"High",0,33,63,"Private","Min","Never Married","Admin"
311,"Low",0,45,24,"Private","High School","Married","Management"
312,"High",0,29,59,"Private","Bach","Married","Specialist"
313,"Low",0,16,74,"Private","Bach","Married","Trades"
314,"High",3159,41,36,"Private","High School","Never Married","Specialist"
317,"Low",0,24,46,"Private","High School","Divorced","Agricultural"
318,"Low",0,7,82,"Private","Bach","Married","Agricultural"
319,"High",0,32,48,"Private","High School","Married","Agricultural"
320,"High",2284,26,63,"Private","High School","Never Married","Agricultural"
321,"Low",0,29,34,"Self-Emp","Bach","Married","Management"
322,"Low",0,26,31,"Private","Master","Never Married","Admin"
323,"High",0,54,55,"Private","Master","Divorced","Specialist"
324,"High",0,44,50,"Private","Min","Divorced","Admin"
325,"High",1465,35,43,"Govt","Bach","Married","Management"
326,"Low",0,12,79,"Private","Min","Widowed","Admin"
327,"High",0,35,40,"Private","High School","Married","Management"
328,"High",0,49,30,"Private","High School","Married","Agricultural"
329,"Low",0,29,70,"Private","Master","Married","Admin"
331,"Low",0,32,20,"Private","High School","Married","Admin"
333,"High",0,61,24,"Private","High School","Never Married","Trades"
335,"Low",0,54,21,"Private","Bach","Divorced","Management"
336,"Low",0,16,74,"Private","Bach","Married","Management"
337,"Low",0,11,79,"Govt","Bach","Divorced","Management"
339,"High",0,28,51,"Private","Bach","Divorced","Agricultural"
340,"Low",0,33,24,"Private","Bach","Divorced","Management"
341,"Low",0,56,21,"Private","Min","Married","Admin"
342,"Low",0,17,74,"Private","High School","Never Married","Admin"
343,"Low",0,6,79,"Private","Bach","Married","Management"
344,"Low",0,19,76,"Self-Emp","High School","Married","Management"
345,"Low",0,27,69,"Private","High School","Never Married","Specialist"
346,"Low",0,60,22,"Private","Min","Married","Agricultural"
347,"Low",0,12,76,"Private","Bach","Never Married","Management"
348,"Low",0,18,76,"Self-Emp","Min","Never Married","Trades"
349,"High",0,40,55,"Govt","Bach","Married","Agricultural"
350,"Low",0,14,77,"Private","High School","Never Married","Trades"
351,"High",0,58,26,"Govt","Min","Never Married","Specialist"
352,"Low",0,19,42,"Self-Emp","High School","Married","Agricultural"
353,"High",0,55,46,"Private","Bach","Married","Agricultural"
354,"High",0,57,34,"Private","High School","Never Married","Specialist"
355,"Low",0,16,74,"Govt","Min","Divorced","Agricultural"
356,"High",0,52,37,"Private","Master","Divorced","Trades"
357,"Low",0,16,69,"Self-Emp","High School","Never Married","Agricultural"
358,"Low",0,34,21,"Private","High School","Married","Trades"
359,"High",0,44,33,"Private","High School","Divorced","Trades"
360,"High",0,33,52,"Private","High School","Married","Specialist"
361,"Low",0,40,24,"Private","Min","Never Married","Management"
362,"High",0,51,48,"Private","Bach","Married","Admin"
363,"Low",0,29,22,"Private","Min","Married","Specialist"
364,"Low",0,19,75,"Private","Master","Never Married","Agricultural"
365,"Low",0,18,22,"Private","Min","Never Married","Specialist"
366,"High",0,38,43,"Govt","Bach","Divorced","Agricultural"
367,"High",0,28,67,"Govt","High School","Divorced","Trades"
369,"High",0,31,69,"Private","Bach","Never Married","Specialist"
370,"Low",0,14,69,"Private","Bach","Married","Admin"
371,"High",0,31,66,"Private","Bach","Married","Management"
372,"Low",0,28,38,"Private","Bach","Never Married","Trades"
374,"Low",0,24,42,"Private","High School","Divorced","Management"
375,"High",0,30,49,"Private","High School","Divorced","Admin"
377,"Low",915,2,84,"Private","Bach","Married","Management"
378,"High",0,41,56,"Private","Bach","Married","Admin"
380,"High",0,40,69,"Govt","Min","Married","Trades"
381,"Low",0,23,31,"Private","Min","Divorced","Management"
382,"High",4868,31,60,"Self-Emp","High School","Married","Agricultural"
383,"High",2434,58,35,"Private","Bach","Never Married","Agricultural"
384,"Low",0,5,82,"Self-Emp","Master","Never Married","Admin"
385,"High",0,34,62,"Private","High School","Never Married","Trades"
386,"Low",0,34,20,"Self-Emp","Min","Married","Agricultural"
387,"High",0,40,49,"Private","High School","Married","Trades"
389,"High",0,34,51,"Private","High School","Divorced","Agricultural"
390,"Low",0,22,71,"Private","Master","Never Married","Agricultural"
391,"High",1665,51,38,"Private","High School","Married","Management"
392,"High",2319,48,59,"Private","Bach","Married","Management"
394,"High",0,29,50,"Private","High School","Divorced","Trades"
395,"Low",0,18,76,"Govt","Min","Divorced","Agricultural"
396,"High",0,50,43,"Private","High School","Never Married","Agricultural"
397,"Low",0,22,69,"Private","Bach","Divorced","Specialist"
398,"Low",0,3,83,"Private","High School","Never Married","Admin"
399,"High",0,51,29,"Private","Master","Married","Management"
400,"Low",0,17,77,"Private","Bach","Married","Trades"
401,"High",0,62,48,"Private","Bach","Married","Admin"
402,"High",0,56,32,"Private","High School","Never Married","Admin"
403,"High",0,48,29,"Private","High School","Divorced","Admin"
404,"Low",0,29,22,"Private","High School","Never Married","Trades"
405,"High",0,51,64,"Private","Bach","Married","Management"
406,"High",1732,25,57,"Private","Bach","Never Married","Trades"
407,"High",0,54,61,"Private","Bach","Divorced","Admin"
408,"Low",0,24,63,"Private","Bach","Married","Trades"
409,"Low",0,21,53,"Private","Min","Never Married","Specialist"
410,"Low",0,9,81,"Govt","Master","Married","Specialist"
411,"High",0,48,63,"Private","Bach","Married","Trades"
412,"High",0,36,44,"Private","Master","Never Married","Admin"
413,"High",0,45,35,"Private","High School","Married","Trades"
414,"High",0,48,42,"Govt","Bach","Never Married","Specialist"
415,"High",0,51,39,"Govt","High School","Never Married","Trades"
416,"High",0,61,58,"Govt","Bach","Married","Specialist"
417,"High",0,61,56,"Private","Bach","Married","Agricultural"
418,"High",1199,53,24,"Private","High School","Married","Specialist"
419,"Low",0,24,23,"Private","Min","Married","Admin"
420,"High",0,39,48,"Private","Bach","Never Married","Trades"
422,"Low",0,23,73,"Private","Bach","Married","Management"
423,"Low",0,16,74,"Self-Emp","Bach","Never Married","Management"
424,"High",0,30,61,"Govt","Bach","Married","Specialist"
425,"High",0,56,48,"Private","High School","Never Married","Specialist"
426,"Low",0,22,68,"Private","Min","Married","Admin"
427,"High",0,55,32,"Private","High School","Married","Trades"
428,"High",0,61,38,"Private","High School","Never Married","Trades"
431,"High",0,49,52,"Private","Min","Married","Trades"
432,"High",0,29,57,"Private","Bach","Never Married","Management"
433,"High",0,32,43,"Self-Emp","High School","Married","Specialist"
434,"High",0,37,35,"Private","Bach","Married","Agricultural"
435,"High",1484,32,63,"Private","High School","Married","Trades"
436,"Low",0,5,81,"Self-Emp","Bach","Married","Admin"
438,"High",0,37,70,"Private","High School","Married","Admin"
440,"High",0,39,67,"Private","High School","Never Married","Trades"
441,"High",0,38,55,"Private","Bach","Married","Specialist"
442,"Low",0,19,42,"Private","Min","Never Married","Trades"
443,"High",0,35,39,"Private","Bach","Married","Admin"
444,"High",1956,26,69,"Private","Bach","Married","Agricultural"
445,"High",0,33,51,"Private","Min","Married","Management"
446,"High",0,36,57,"Private","High School","Never Married","Management"
447,"High",0,37,73,"Govt","High School","Never Married","Trades"
448,"High",0,28,60,"Private","Bach","Married","Management"
449,"Low",0,9,76,"Private","Min","Never Married","Management"
450,"High",0,42,49,"Private","High School","Never Married","Management"
451,"High",1579,34,64,"Private","High School","Divorced","Trades"
452,"High",0,30,46,"Private","Master","Divorced","Management"
453,"High",0,48,32,"Private","High School","Married","Management"
454,"Low",0,28,37,"Private","Bach","Married","Management"
455,"Low",0,32,21,"Private","High School","Married","Admin"
456,"High",0,46,60,"Private","High School","Divorced","Trades"
457,"High",0,28,48,"Govt","Bach","Never Married","Trades"
458,"High",0,37,70,"Private","High School","Married","Management"
459,"Low",0,19,40,"Govt","Bach","Never Married","Management"
460,"Low",0,39,28,"Private","Min","Never Married","Agricultural"
461,"Low",0,14,72,"Govt","Bach","Married","Management"
462,"High",0,58,46,"Govt","Min","Married","Admin"
463,"Low",0,39,24,"Private","Min","Married","Admin"
464,"High",0,31,46,"Self-Emp","Bach","Never Married","Admin"
465,"Low",0,19,74,"Private","Bach","Divorced","Admin"
466,"High",0,37,39,"Private","Min","Never Married","Specialist"
467,"High",0,31,57,"Private","Bach","Married","Trades"
468,"High",0,43,58,"Private","Bach","Never Married","Specialist"
469,"Low",0,22,41,"Self-Emp","Min","Married","Admin"
470,"High",0,54,26,"Private","Bach","Widowed","Management"
472,"Low",0,23,58,"Self-Emp","Min","Married","Management"
473,"Low",0,20,68,"Private","Bach","Never Married","Admin"
474,"Low",0,47,23,"Private","Bach","Never Married","Agricultural"
475,"Low",3021,25,24,"Private","Bach","Widowed","Trades"
476,"High",0,30,60,"Private","Bach","Never Married","Admin"
477,"Low",0,43,25,"Self-Emp","Bach","Never Married","Agricultural"
478,"High",0,55,24,"Govt","Min","Widowed","Specialist"
479,"High",0,38,48,"Private","High School","Married","Agricultural"
480,"Low",2604,12,71,"Private","Min","Divorced","Admin"
481,"High",0,86,31,"Private","Master","Married","Admin"
482,"High",0,62,46,"Private","High School","Married","Admin"
483,"High",2067,49,49,"Private","High School","Divorced","Management"
484,"High",0,39,53,"Private","Bach","Never Married","Admin"
485,"High",0,29,44,"Private","Bach","Never Married","Agricultural"
486,"Low",0,26,40,"Self-Emp","Min","Married","Specialist"
487,"Low",0,47,25,"Private","High School","Married","Admin"
488,"High",0,40,57,"Private","High School","Married","Agricultural"
489,"Low",0,9,80,"Private","Master","Never Married","Admin"
490,"High",0,46,68,"Private","High School","Married","Admin"
491,"Low",1153,26,28,"Private","Master","Never Married","Agricultural"
492,"High",0,54,59,"Private","High School","Married","Trades"
493,"Low",0,13,77,"Private","Min","Married","Admin"
494,"Low",0,34,34,"Private","High School","Divorced","Admin"
495,"Low",0,37,22,"Private","Bach","Married","Agricultural"
496,"High",0,41,45,"Private","Master","Never Married","Admin"
497,"High",0,59,58,"Private","Min","Divorced","Management"
499,"High",0,34,63,"Private","Bach","Married","Management"
500,"High",690,41,35,"Govt","High School","Divorced","Admin"
501,"Low",0,18,74,"Private","High School","Divorced","Admin"
502,"Low",0,16,75,"Self-Emp","High School","Married","Management"
503,"High",0,43,41,"Private","High School","Married","Trades"
505,"High",0,31,56,"Private","Master","Married","Trades"
507,"High",0,45,31,"Private","Master","Never Married","Agricultural"
508,"Low",0,22,65,"Self-Emp","Bach","Married","Specialist"
509,"Low",0,20,23,"Self-Emp","Bach","Married","Agricultural"
511,"Low",0,24,57,"Private","High School","Married","Management"
512,"High",0,44,55,"Private","Min","Married","Specialist"
513,"High",0,34,70,"Private","High School","Never Married","Admin"
514,"High",0,29,42,"Govt","Bach","Never Married","Admin"
516,"Low",0,27,44,"Self-Emp","High School","Married","Admin"
517,"High",0,37,47,"Private","Bach","Married","Trades"
518,"High",0,49,33,"Private","Bach","Married","Trades"
519,"Low",0,4,81,"Private","High School","Married","Admin"
521,"Low",0,14,75,"Govt","Min","Never Married","Agricultural"
522,"Low",0,14,77,"Private","High School","Married","Trades"
523,"Low",0,11,78,"Private","High School","Married","Agricultural"
524,"Low",2012,12,76,"Self-Emp","Master","Married","Specialist"
526,"Low",0,19,75,"Private","Min","Divorced","Agricultural"
528,"High",0,44,31,"Private","Min","Never Married","Specialist"
530,"High",0,47,67,"Private","High School","Married","Agricultural"
531,"High",0,64,23,"Govt","High School","Never Married","Agricultural"
532,"High",0,74,37,"Private","High School","Divorced","Agricultural"
533,"High",0,42,60,"Private","Min","Married","Management"
534,"High",0,51,57,"Private","Bach","Married","Admin"
535,"High",0,47,33,"Private","Min","Never Married","Specialist"
536,"Low",0,37,31,"Self-Emp","Bach","Divorced","Specialist"
